"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"174054","验证智能分析-取数模版数据","指标开发-AI取数","智能分析","前置条件：
1）配置文件设置data-query-max-days =1098
2）创建原子指标${销售额}，关联的数据模型有时间维度属性-时间格式：yyyyMMdd；
3）自助取数选择原子指标${销售额}，维度：商品ID、订单状态、客户ID、数量。配置筛选条件[订单状态]-已发货 保存取数模版 名称${已发货订单}
4）进入指标应用-智能分析","1. 进入自助取数，选择勾选指标${yz_index}
2. 询问：2025年已发货订单的情况
3. 询问：2025年3季度已发货订单的情况
4. 询问：2025年10月份已发货订单的情况
5. 询问：2026年1月5日已发货订单的情况","1. 成功进入自助取数，选择勾选指标${yz_index}页面，页面内容正常加载显示，无报错
2. 数据显示正常；显示指标名称、查询日期、查询粒度、查询维度
3. 数据显示正常；显示指标名称、查询日期、查询粒度、查询维度
4. 数据显示正常；显示指标名称、查询日期、查询粒度、查询维度
5. 数据显示正常；显示指标名称、查询日期、查询粒度、查询维度","2","功能测试"
"174053","验证智能分析-询问指标值-归因分析","指标开发-AI取数","智能分析","前置条件：
1）配置文件设置data-query-max-days =1098
2）创建原子指标${销售额}，关联的数据模型有时间维度属性-时间格式：yyyyMMdd；
3）进入指标应用-智能分析","1. 进入自助取数，选择勾选指标${yz_index}
2. 2025年1月1日到2025年12月31日的销售金额数据增长的趋势
3. 询问：分析下2025年6月到2025年12月，账户销售额数据增长的原因
4. 询问：分析2025年，账户销售额数据增长的原因","1. 成功进入自助取数，选择勾选指标${yz_index}页面，页面内容正常加载显示，无报错
2. 数据显示正常；显示指标名称、查询日期、查询粒度、查询维度
3. 数据显示正常；显示指标名称、查询日期、查询粒度、查询维度
4. 数据显示正常；显示指标名称、查询日期、查询粒度、查询维度","1","功能测试"
"173715","验证原子指标业务维度变更-API联动","指标开发-API取数","API服务","前置条件：
1）配置文件设置data-query-max-days =1098
2）创建原子指标${yz_index}，关联的数据模型有时间维度属性-时间格式：yyyyMMdd；
3）进入指标应用-API服务","1. 进入自助取数，选择勾选指标${yz_index}
2. 编辑${yz_index}指标，删除时间维度为空，保存发布，进入API管理
3. 再次编辑${yz_index}指标，选择时间维度，保存发布
4. 点击编辑${API_test_yz}，下一步 修改业务日期粒度：季，下一步，保存
5. 编辑${yz_index}指标，删除时间维度为空，保存发布，进入API管理
6. 再次编辑${yz_index}指标，选择时间维度，保存发布，进入API管理","1. 成功进入自助取数，选择勾选指标${yz_index}页面，页面内容正常加载显示，无报错
2. 编辑API，统计粒度设置显示 日
3. 系统提示发布成功，发布状态更新，相关页面可访问
4. 系统提示保存成功，修改内容已生效并在页面中更新显示
5. 编辑API，保存提示：${yz_index} 不支持数据查询（错误：给出具体指标且提示合理即可）
6. 编辑API，统计粒度设置显示季","2","功能测试"
"173713","验证指标树-原子指标时间维度变更","指标开发-原子指标查询","指标树","前置条件：
1）配置文件设置data-query-max-days =1098
2）创建原子指标${yz_index}，关联的数据模型有时间维度属性-时间格式：yyyyMMdd；
3）进入指标应用-指标树","1. 进入自助取数，选择勾选指标${yz_index}
2. 编辑${yz_index}指标，删除时间维度为空，保存发布，进入指标树
3. 再次编辑${yz_index}指标，选择时间维度，保存发布，进入指标书","1. 成功进入自助取数，选择勾选指标${yz_index}页面，页面内容正常加载显示，无报错
2. 编辑指标树${tree}提示：${yz_index} 不支持数据查询（错误：给出具体指标且提示合理即可）；保存提示错误信息
3. 编辑指标树${tree}，指标树详情的统计粒度设置显示当季","2","功能测试"
"173711","验证目标管理-原子指标时间维度变更","指标开发-原子指标查询","目标管理","前置条件：
1）配置文件设置data-query-max-days =1098
2）创建原子指标${yz_index}，关联的数据模型有时间维度属性-时间格式：yyyyMMdd；
3）进入指标应用-指标分析","1. 进入自助取数，选择勾选指标${yz_index}
2. 新增目标，新增总体目标，选择指标${yz_index}
3. 新增目标，新增总体目标选择指标${yz_index}，选择当月累计查询，选择2026年1月；新增维度拆解目标，选择维值，选择当月累计查询，选择2026年1月； 保存
4. 编辑指标${yz_index},删除指标${yz_index}内的时间维度，保存发布。进入目标管理${yz_index}编辑保存
5. 再次修改目标管理内已配置的指标${yz_index},设置指标${yz_index}内的时间维度，保存发布
6. 修改目标管理内已配置的指标${yz_index}模型维度属性为业务维度发布并更新下游指标","1. 成功进入自助取数，选择勾选指标${yz_index}页面，页面内容正常加载显示，无报错
2. 查询粒度展示当日指标值/当月累计指标值/当季累计指标值/当年累计指标值
3. 保存成功，列表数量+1
4. 保存提示：${yz_index} 不支持数据查询（错误：给出具体指标且提示合理即可）
5. 进入指标${yz_index}目标管理，总体目标和维度拆解目标的数据统计方式显示之前配置的当月累计指标值，目标实现周期显示2026-01
6. 指标${yz_index}更新失败，编辑指标${yz_index}目标管理，数据统计方式和目标实现周期显示正常","2","功能测试"
"173709","验证原子指标时间维度变更/为空，指标看板统计粒度清空","指标开发-指标看板","指标看板","前置条件：
1）配置文件设置data-query-max-days =1098
2）创建原子指标${yz_index}，关联的数据模型有时间维度属性-时间格式：yyyyMMdd；","1. 进入自助取数，选择勾选指标${yz_index}
2. 编辑指标${yz_index}-删除指标内的时间维度，保存发布。编辑指标看板
3. 再次编辑指标${yz_index}-选择时间维度，保存发布。编辑指标看板
4. 修改指标${yz_index}引用的模型时间格式为 yyyy-MM-dd，发布并更新下游指标
5. 手动更新指标${yz_index}发布，编辑指标看板","1. 成功进入自助取数，选择勾选指标${yz_index}页面，页面内容正常加载显示，无报错
2. 指标卡/柱状图/折线图/饼图配置的查询粒度信息清空
3. 指标卡/柱状图/折线图/饼图提示：${yz_index}不支持数据查询
4. 指标${yz_index}更新成功，指标卡/柱状图/折线图/饼图配置的查询粒度展示正常
5. 查看SQL内拼接的时间格式显示为yyyy-MM-dd，查询数据正确","2","功能测试"
"173708","验证指标看板新增，【柱状图、折线图、饼图】数据配置-查询粒度字段","指标开发-指标看板","指标看板","前置条件：
1）配置文件设置data-query-max-days =1098
2）创建原子指标${yz_index}，关联的数据模型有时间维度属性-时间格式：yyyyMMdd；","1. 进入自助取数，选择勾选指标${yz_index}
2. 新增指标看板-选择柱状图/折线图/饼图-选择统计指标${yz_index}
3. 选择统计维度：订单状态、销售金额，选择查询粒度日/月/季/年，点击更新
4. 点击柱状图/折线图/饼图右上角...选择查看数据
5. 点击柱状图/折线图/饼图右上角...选择查看SQL
6. 选择统计维度：订单状态、订单ID ，更改查询粒度日/月/季/年，点击更新","1. 成功进入自助取数，选择勾选指标${yz_index}页面，页面内容正常加载显示，无报错
2. 查询粒度显示日/月/季/年
3. 柱状图/折线图/饼图看板更新以日/月/季/年为维度统计信息
4. 显示业务日期以日/月/季/年为分区查询数据
5. 查看SQL内拼接的时间格式和重命名的日期正确，内容与预期完全一致，无异常或错误
6. 柱状图/折线图/饼图看板更新以日/月/季/年为维度统计信息；查看数据显示业务日期以日/月/季/年为分区查询数据；查看SQL拼接的时间格式正确","2","功能测试"
"173706","验证已引入的原子指标时间维度变更","指标开发-指标分析","指标分析","前置条件：
1）配置文件设置data-query-max-days =1098
2）创建原子指标${yz_index}，关联的数据模型有时间维度属性-时间格式：yyyyMMdd；","1. 进入自助取数，选择勾选指标${yz_index}
2. 修改${yz_index}指标内的时间维度为空保存发布指标
3. 再次修改${yz_index}指标，添加时间维度，保存发布指标，查看指标分析","1. 成功进入自助取数，选择勾选指标${yz_index}页面，页面内容正常加载显示，无报错
2. 查看指标分析卡片刷新显示【指标异常，请联系技术人员排查原因】点进去分析提示同样信息
3. 查看指标分析卡片查询粒度不变，横轴显示统计维度日/月/季/年不变","2","功能测试"
"173704","验证选择多个不同统计周期粒度的指标，自助取数查询粒度可选范围","指标开发-自助取数","自助取数","前置条件：
1）配置文件设置data-query-max-days =1098
2）
配置可汇总指标：
新增原子指标${yz_index_01}，关联的数据模型有时间维度属性-时间格式：yyMMdd
新增派生指标${ps_index_01}「统计周期-统计粒度为日」、
基于前者新建复合指标${fh_index_01}；
新增派生指标${ps_index_03}「统计周期-统计粒度为月」；
新增派生指标${ps_index_04}「统计周期-统计粒度为年」；
不可汇总指标：
新增原子指标${yz_index_02}，无时间维度属性，
基于前者新建派生指标${ps_index_02} 统计粒度为无；
基于前者及派生指标${ps_index_01}新建复合指标${fh_index_02}；
3）进入指标应用-自动取数","1. 进入自助取数，选择勾选指标${yz_index}
2. 选择${yz_index_01}
3. 同时选择${yz_index_01}、${ps_index_02}
4. 同时选择${yz_index_01}、${fh_index_01}、${ps_index_01}
5. 同时选择${yz_index_01}、${ps_index_03}
6. 同时选择${yz_index_01}、${ps_index_04}
7. 修改${yz_index_01}时间维度属性格式为yyyy-MM-dd时
8. 修改${yz_index_01}时间维度属性格式为yyyyMMdd时","1. 成功进入自助取数，选择勾选指标${yz_index}页面，页面内容正常加载显示，无报错
2. 查询粒度默认日，可切换其他选项月/季/年/汇总
3. 查询粒度只能选择日，其他选项月/季/年/汇总隐藏
4. 查询粒度默认日，可切换其他选项月/季/年/汇总
5. 查询粒度默认月，可切换其他选项季/年/汇总
6. 查询粒度默认年，可切换其他选项年/汇总
7. 查询粒度默认日，可切换其他选项月/季/汇总。SQL里面拼接
8. 查询粒度默认日，可切换其他选项月/季/汇总","3","功能测试"
"173703","验证原子指标时间维度选择非日期型，查询粒度选择月、季、年查询结果","指标开发-自助取数","自助取数","前置条件：
1）建表语句
CREATE TABLE AOMS.dwd_order_fact (
    order_id VARCHAR(50) COMMENT '订单ID',
    user_id VARCHAR(50) NOT NULL COMMENT '用户标识',
    order_time DATETIME NOT NULL COMMENT '下单时间',
    order_date DATE NOT NULL COMMENT '订单日期(分区字段)',
    order_year INT NOT NULL COMMENT '订单年份',
    order_month VARCHAR(6) NOT NULL COMMENT '订单年月(YYYYMM)',
    order_day VARCHAR(8) COMMENT '订单日期(YYYYMMDD格式)',
    order_intday INT COMMENT '订单日期(YYYYMMDD数值型格式)',
    order_amount DECIMAL(10,2) NOT NULL COMMENT '订单实付金额',
    is_first_order BOOLEAN COMMENT '是否首单',
    channel VARCHAR(50) NOT NULL COMMENT '订单来源渠道',
    create_time DATETIME COMMENT '创建时间'
) ENGINE=OLAP 
DUPLICATE KEY(order_id)
PARTITION BY RANGE(order_date) (
    PARTITION p202405 VALUES LESS THAN (“2024-06-01“),
    PARTITION p202406 VALUES LESS THAN (“2024-07-01“),
    PARTITION p202509 VALUES LESS THAN (“2025-10-01“), 
    PARTITION p202510 VALUES LESS THAN (“2025-11-01“),
    PARTITION p202511 VALUES LESS THAN (“2025-12-01“)
)
DISTRIBUTED BY HASH(order_id) BUCKETS 8 
PROPERTIES (
    “replication_num“ = “1“,
    “storage_format“ = “DEFAULT“
);  

2）模型配置为分区表
3）创建原子指标${yz_index}，关联的数据模型有时间维度属性-时间格式：yyyyMMdd；原子指标${yz_index}，设置时间维度。
4）进入指标应用-自动取数","1. 进入自助取数，选择勾选指标${yz_index}
2. 编辑指标${yz_index}${yz_index_jx}选择int型的时间维度字段【order_intday】
3. 选择指标${yz_index}${yz_index_jx}，未选择维度，查询粒度选择日，查询2025-11-20~2025-11-25数据
4. 选择指标${yz_index}${yz_index_jx}，未选择维度，查询粒度选择全部，查询2025-11-20~2025-11-25数据
5. 选择指标${yz_index}${yz_index_jx}，未选择维度，查询粒度选择月，查询2025-11~2025-12数据
6. 编辑指标${yz_index}${yz_index_jx}选择DATETIME型的时间维度字段【order_time】
7. 选择指标${yz_index}${yz_index_jx}，选择维度w1、w2，查询粒度选择季，查询2025Q3数据
8. 编辑指标${yz_index}${yz_index_jx}选择VARCHAR型的时间维度字段【order_day】
9. 选择指标${yz_index}${yz_index_jx}，选择维度w1、w2，查询粒度选择年，查询2024-2025数据","1. 成功进入自助取数，选择勾选指标${yz_index}页面，页面内容正常加载显示，无报错
2. 系统提示编辑成功，修改内容已更新，页面显示最新内容
3. 取数结果汇总正确，取值[2025-11-20~2025-11-25]数据;查询SQL时间部分正确：非日期型转化为日期型比较执行SQL查询结果正确；查看自助取数下载结果正确
4. 取数结果汇总正确，取值[2025-11-20~2025-11-25]数据汇总;查询SQL时间部分正确：非日期型转化为日期型比较执行SQL查询结果正确；查看自助取数下载结果正确
5. 取数结果汇总正确，取值[2025-11-01~2025-12-31]数据汇总，业务日期202511、202512;查询SQL时间部分正确：非日期型转化为日期型比较执行SQL查询结果正确；查看自助取数下载结果正确
6. 系统提示编辑成功，修改内容已更新，页面显示最新内容
7. 取数结果汇总正确，取值[2025-07-01~2025-09-30]数据汇总，业务日期2025Q3;查询SQL时间部分正确：非日期型转化为日期型比较执行SQL查询结果正确；查看自助取数下载结果正确
8. 系统提示编辑成功，修改内容已更新，页面显示最新内容
9. 取数结果汇总正确，取值[2025-04-01~2025-12-31]数据汇总，业务日期2025;查询SQL时间部分正确：非日期型转化为日期型比较执行SQL查询结果正确；查看自助取数下载结果正确","2","功能测试"
